1,EWR,Newark Airport,EWR,40.69287997,-74.18544993,dr5przg
2,Queens,Jamaica Bay,Boro Zone,40.6057,-73.8713,dr5rp00
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.86521003,-73.8435548,dr72rxk
4,Manhattan,Alphabet City,Yellow Zone,40.72599,-73.98057,dr5rstb
5,Staten Island,Arden Heights,Boro Zone,40.5564,-74.1735,dr5q8ph
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.5927,-74.07,dr5qfmx
7,Queens,Astoria,Boro Zone,40.7644,-73.9235,dr5rvuf
8,Queens,Astoria Park,Boro Zone,40.7785,-73.9228,dr5rvz7
9,Queens,Auburndale,Boro Zone,40.7578,-73.7834,dr5xc58
10,Queens,Baisley Park,Boro Zone,40.6738,-73.786,dr5x2uq
11,Brooklyn,Bath Beach,Boro Zone,40.60437,-74.00485,dr5qgzz
12,Manhattan,Battery Park,Yellow Zone,40.7031,-74.016,dr5re9z
13,Manhattan,Battery Park City,Yellow Zone,40.71131,-74.0159,dr5reer
14,Brooklyn,Bay Ridge,Boro Zone,40.6264,-74.0299,dr5r57v
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.7814,-73.7782,dr7810h
16,Queens,Bayside,Boro Zone,40.7586,-73.7654,dr5xc7v
17,Brooklyn,Bedford,Boro Zone,40.6872,-73.9418,dr5rmqv
18,Bronx,Bedford Park,Boro Zone,40.8701,-73.8857,dr72w8n
19,Queens,Bellerose,Boro Zone,40.72304,-73.71546,dr5xdt6
20,Bronx,Belmont,Boro Zone,40.8535,-73.8894,dr72qt5
21,Brooklyn,Bensonhurst East,Boro Zone,40.61247,-73.99364,dr5rh1r
22,Brooklyn,Bensonhurst West,Boro Zone,40.59173066,-73.97044893,dr5quv2
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.6157,-74.1792,dr5r01b
24,Manhattan,Bloomingdale,Yellow Zone,40.7989,-73.9698,dr72hg0
25,Brooklyn,Boerum Hill,Boro Zone,40.68372,-73.98179,dr5rkw0
26,Brooklyn,Borough Park,Boro Zone,40.635,-73.9921,dr5rhm2
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.5609,-73.9155,dr5qwpb
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.70213116,-73.81062276,dr5x83s
29,Brooklyn,Brighton Beach,Boro Zone,40.57795,-73.9601,dr5qufz
30,Queens,Broad Channel,Boro Zone,40.6158,-73.8213,dr5x01u
31,Bronx,Bronx Park,Boro Zone,40.85419,-73.87146,dr72rj2
32,Bronx,Bronxdale,Boro Zone,40.85008,-73.86683,dr72rhe
33,Brooklyn,Brooklyn Heights,Boro Zone,40.6959,-73.9956,dr5rs0q
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,40.723,-73.95309,dr5rtjm
35,Brooklyn,Brownsville,Boro Zone,40.6652,-73.9125,dr5rq4f
36,Brooklyn,Bushwick North,Boro Zone,40.697,-73.917,dr5rtbx
37,Brooklyn,Bushwick South,Boro Zone,40.6958,-73.9171,dr5rtbr
38,Queens,Cambria Heights,Boro Zone,40.69254,-73.73185,dr5x6py
39,Brooklyn,Canarsie,Boro Zone,40.64364,-73.90069,dr5rnqg
40,Brooklyn,Carroll Gardens,Boro Zone,40.6802,-74.00163,dr5rkj9
41,Manhattan,Central Harlem,Boro Zone,40.8089,-73.9482,dr72jm0
42,Manhattan,Central Harlem North,Boro Zone,40.7987,-73.9523,dr72j5j
43,Manhattan,Central Park,Yellow Zone,40.76748004,-73.97069005,dr5ruv2
44,Staten Island,Charleston/Tottenville,Boro Zone,40.51128,-74.25057,dr5nqqu
45,Manhattan,Chinatown,Yellow Zone,40.7158,-73.997,dr5rshj
46,Bronx,City Island,Boro Zone,40.8468,-73.7875,dr782gv
47,Bronx,Claremont/Bathgate,Boro Zone,40.84699,-73.89793,dr72q7v
48,Manhattan,Clinton East,Yellow Zone,40.7638,-73.9918,dr5rukb
49,Brooklyn,Clinton Hill,Boro Zone,40.6897,-73.9125,dr5rqp6
50,Manhattan,Clinton West,Yellow Zone,40.7629,-73.994,dr5ruhx
51,Bronx,Co-Op City,Boro Zone,40.87389,-73.82944,dr72xbz
52,Brooklyn,Cobble Hill,Boro Zone,40.6865,-73.9962,dr5rknv
53,Queens,College Point,Boro Zone,40.7864,-73.839,dr72pbb
54,Brooklyn,Columbia Street,Boro Zone,42.44711829,-73.65450644,dre97zq
55,Brooklyn,Coney Island,Boro Zone,40.5755,-73.9707,dr5quf8
56,Queens,Corona,Boro Zone,40.745,-73.8643,dr5rz1m
57,Queens,Corona,Boro Zone,40.745,-73.8643,dr5rz1m
58,Bronx,Country Club,Boro Zone,40.8392,-73.8197,dr7824w
59,Bronx,Crotona Park,Boro Zone,40.84,-73.8953,dr72q6x
60,Bronx,Crotona Park East,Boro Zone,40.83359,-73.88837,dr72q9s
61,Brooklyn,Crown Heights North,Boro Zone,40.6681032,-73.9447994,dr5rm77
62,Brooklyn,Crown Heights South,Boro Zone,40.6681032,-73.9447994,dr5rm77
63,Brooklyn,Cypress Hills,Boro Zone,40.6837,-73.8796,dr5rqy4
64,Queens,Douglaston,Boro Zone,40.76863,-73.74734,dr5xcvd
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,40.69292385,-73.98576778,dr5rkrv
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,40.702,-73.981,dr5rs98
67,Brooklyn,Dyker Heights,Boro Zone,40.6215,-74.0096,dr5r5fg
68,Manhattan,East Chelsea,Yellow Zone,40.742352,-74.00621,dr5rgby
69,Bronx,East Concourse/Concourse Village,Boro Zone,40.83318,-73.91399,dr72q13
70,Queens,East Elmhurst,Boro Zone,40.76439,-73.87402,dr5ryuy
71,Brooklyn,East Flatbush/Farragut,Boro Zone,40.63655378,-73.92102231,dr5rjvs
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,40.6507878,-73.91772054,dr5rmbq
73,Queens,East Flushing,Boro Zone,40.75566,-73.81028,dr5xb7k
74,Manhattan,East Harlem North,Boro Zone,40.795,-73.939,dr72j6x
75,Manhattan,East Harlem South,Boro Zone,40.795,-73.939,dr72j6x
76,Brooklyn,East New York,Boro Zone,40.66643,-73.88269,dr5rqg0
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,40.65150683,-73.88543898,dr5rq8q
78,Bronx,East Tremont,Boro Zone,40.84539,-73.89114,dr72qed
